X,state,county_name,county.FIPS,date,female,below_18,above_65,median_house_income,population,driving_alone_to_work,smoking,flu_vac,some_college,social_association,traffic,black,hispanic,Rural.urban_Continuum_Code_2013,PCTPOVALL_2018,population.density,distance_one_week_before,distance_two_weeks_before,distance_three_weeks_before,cases_one_week_before,cases_two_weeks_before,cases_three_weeks_before,death_one_week_before,death_two_weeks_before,death_three_weeks_before,cumulative_dose,non_metro
675,IN,Fayette County,18041,2020/7/1,0.506183017,0.215819846,0.203931097,47737,23102,0.859108647,0.228956525,0.45,0.513038549,15.08035676,204.8672015,0.013797891,0.013450775,6,14.5,107.4461653,-0.385284054,-0.342002572,-0.428989058,134.1875162,95.22985023,86.57259112,17.31451822,17.31451822,12.98588867,-0.145353476,1
677,IN,Fountain County,18045,2020/7/1,0.500825638,0.218212953,0.200721668,53493,16346,0.809071157,0.205689503,0.41,0.541834813,13.32929415,17.08657544,0.004953826,0.026236927,6,11.2,41.31324875,-0.265033577,-0.268603711,-0.357151703,55.05934173,48.9416371,18.35311391,12.23540927,12.23540927,6.117704637,-0.02848357,1
2917,WV,Pleasants County,54073,2020/7/1,0.456107633,0.18609298,0.191288131,50768,7460,0.902962206,0.224068539,0.47,0.443501326,13.31203408,79.16956267,0.016517917,0.009724257,6,13.6,57.3405073,-0.347122079,-0.265103959,-0.34428112,26.80965147,26.80965147,13.40482574,0,0,0,-0.098471179,1
1994,OH,Henry County,39069,2020/7/1,0.506091708,0.232075611,0.186627778,57705,27006,0.880196349,0.16735635,0.59,0.662635464,15.81754644,21.8545718,0.006903936,0.078010781,6,10.8,64.91670873,-0.240651927,-0.222436204,-0.356940316,14.81152337,11.10864252,3.702880841,0,0,0,-0.088331168,1
682,IN,Greene County,18055,2020/7/1,0.49946885,0.219302631,0.195213398,46835,31922,0.87610302,0.209477388,0.41,0.529435593,14.29592566,66.00977782,0.002624508,0.014872212,6,14,58.84239631,-0.306967936,-0.280607484,-0.351922727,150.3665184,134.7033394,81.44853079,18.7958148,15.663179,6.2652716,-0.067121925,1
685,IN,Harrison County,18061,2020/7/1,0.500297398,0.225328377,0.177001239,60379,40515,0.87097888,0.200971326,0.52,0.538535032,8.020452153,20.706105,0.006394052,0.019975217,1,9.3,83.61883926,-0.393086391,-0.374641501,-0.387940179,301.1230408,251.7586079,143.1568555,14.80932988,7.404664939,4.936443293,-0.109517946,0
1772,NY,Genesee County,36037,2020/7/1,0.502512563,0.203421954,0.186920763,58925,57280,0.835988464,0.159221016,0.47,0.647128742,12.25067292,176.7379813,0.027612109,0.033941333,4,9.9,116.2007547,-0.159998401,-0.238002288,-0.32721093,258.3798883,207.7513966,123.952514,3.491620112,3.491620112,0,-0.076846196,1
706,IN,Miami County,18103,2020/7/1,0.462057525,0.210588467,0.176821211,47624,35516,0.866962008,0.240213126,0.41,0.468309859,13.39098898,63.7800925,0.04838755,0.033317401,6,16.1,95.00320993,-0.309219781,-0.265851987,-0.369154666,264.6694448,61.9439126,45.05011826,0,0,0,-0.045902098,1
691,IN,Jasper County,18073,2020/7/1,0.502517231,0.232064729,0.175966437,66720,33562,0.853705422,0.194919731,0.45,0.537359659,14.35106288,33.37145604,0.007911298,0.06107282,1,9.4,59.97176706,-0.164687566,-0.155475924,-0.245313965,89.38680651,74.48900542,53.6320839,2.979560217,2.979560217,2.979560217,-0.025387467,0
1771,NY,Fulton County,36035,2020/7/1,0.502341811,0.20096658,0.195909761,51388,53383,0.833060144,0.18383445,0.5,0.550931431,8.352358149,110.8362825,0.01983542,0.0323002,4,13,107.7421438,-0.373910938,-0.320721387,-0.357516586,116.1418429,50.57789933,39.33836615,1.873255531,0,0,-0.137033463,1
1028,KY,Marion County,21155,2020/7/1,0.504998969,0.241805813,0.16419295,45661,19273,0.781993744,0.2330721,0.37,0.444803795,5.671564836,6.518977141,0.067769532,0.029633065,7,17.1,56.18786624,-0.38849956,-0.337027325,-0.350400088,83.01769315,67.45187568,51.88605822,0,0,0,-0.097902449,1
696,IN,Knox County,18083,2020/7/1,0.493644125,0.214690337,0.178398157,48606,36594,0.866313511,0.203962583,0.48,0.592941177,17.59624613,117.7794967,0.028675972,0.022360754,5,15.7,70.91448172,-0.384901661,-0.315579955,-0.33585507,54.65376838,49.18839154,40.99032628,0,0,0,-0.078564507,1
697,IN,Kosciusko County,18085,2020/7/1,0.500201654,0.238417524,0.167296834,57367,79456,0.802350427,0.190350896,0.49,0.562039601,16.7916572,95.95480109,0.009969248,0.080547994,4,9,149.527645,-0.382337503,-0.406756334,-0.399044229,37.75674587,28.9468385,22.65404752,2.517116391,2.517116391,1.258558196,-0.108871799,1
2167,PA,Bradford County,42015,2020/7/1,0.504265777,0.219650519,0.212960071,50978,60323,0.81356384,0.182194807,0.45,0.509109078,13.63942616,67.61506835,0.006789078,0.015041178,6,12.5,52.57364476,-0.333429381,-0.304418525,-0.366565728,46.41678962,41.44356216,31.49710724,8.288712431,1.657742486,0,-0.117575587,1
705,IN,Martin County,18101,2020/7/1,0.493295488,0.223059607,0.198492708,55444,10255,0.802274163,0.204381285,0.26,0.596689896,15.66324033,103.1469707,0.002936283,0.010864246,7,11.8,30.54446893,-0.450349311,-0.390320506,-0.374468226,68.25938567,58.50804486,48.75670405,0,0,0,-0.171725837,1
